code,name,location,nirf2025,cutoffs,fees,accreditation,establishment,affiliation,placements,branches_current_year
BIET,Bharat Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BITN,Balaji Institute of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BOMA,Bomma Institute of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BOSE,Anu Bose Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BREW,Bhoj Reddy Engineering College for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BRIG,Brilliant Grammar School Educational Society,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BRIL,Brilliant Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BSKR,Bhaskar Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BVRI,B V Raju Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BVRW,BVRIT Hyderabad College of Engineering for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CBIT,Chaitanya Bharathi Institute of Technology Society,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CHET,Sri Chaitanya Technocal Campus,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CHTN,Sree Chaitanya College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CHTS,Sree Chaitanya Institute of Technological Sciences,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CJIT,Christu Jyothi Institute of Technology and Science,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CMRG,CMR Technical Campus,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CMRK,CMR College of Engineering and Technology,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CMRM,CMR Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CMRN,CMR Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CRIT,Crimson Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CVRH,CVR College of Engineering,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CVSR,Anurag University,not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DARE,Daripally Anantha Ramulu College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DCET,Deccan College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DRKI,DRK Institute of Science and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ELEN,Ellenki College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GATE,Gate Institute of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GCTC,Geethanjali College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GLOB,Global Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GLWC,Gokaraju Lailavathi Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GNIT,Guru Nanak Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GNTW,G. Narayanamma Institute of Technology and Science for Women,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GRRR,Gokaraju Rangaraju Institute of Engineering and Technology,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GURU,Guru Nanak Institutions Technical Campus,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
HITM,Hyderabad Institute of Technology and Management,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
HOLY,Holy Mary Institute of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
IARE,Institute of Aeronautical Engineering,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
IITT,Indur Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
INDI,Sri Indu Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
INDU,Sri Indu College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ISLC,ISL Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JAYA,Jayamukhi Institute of Technological Sciences,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JBIT,J.B Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JMTS,Jyothismathi Institute of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JOGI,Joginpally B.R Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JPNE,Jaya Prakash Narayan College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KCEA,Kshatriya College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KDDW,Kodada Institute of Technology and Science for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KGRH,KG Reddy College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KITS,Kakatiya Institute of Technology and Science,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KITW,Kakatiya Institute of Technology and Science for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KLRT,KLR College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KMCE,Keshav Memorial College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KMEC,Keshav Memorial Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KMIT,Keshav Memorial Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KNRR,Kasireddy Narayana Reddy College of Engineering and Research,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KPRC,KPRIT College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KPRT,Kommuri Pratap Reddy Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KTKM,Kamala Institute of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
LRDS,Lords Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MDRK,Madhira Institute of Technology and Sciences,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MECS,Mathrusri Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
METH,Methodist College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MGHA,Megha Institute of Engineering and Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MGIT,Mahatma Gandhi Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MHVR,Mahaveer Institute of Science and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MINA,Mina Institute of Engineering and Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MJCT,Muffakham Jah (MJ) College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MLID,MLR Institute of Technology,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MLRD,Malla Reddy College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MLRS,Marri Laxman Reddy Institute of Technology and Management,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MOTK,Mother Teresa Institute of Science and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MRCE,Malla Reddy College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MRCW,Malla Reddy Engineering College for Women,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MREM,Malla Reddy Engineering College and Management Sciences,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MRTN,St Martins Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MTEC,Mother Theressa College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MVSR,Maturi Venkata Subba Rao (MVSR) Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NAWB,Nawab Shah Alam Khan College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NGIT,Neil Gogte Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NGMA,Nigama Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NIET,Netaji Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NNRG,Nalla Narasimha Reddy Education Society Group of Institutions,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NRCM,Narasimha Reddy Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NREC,Nalla Malla Reddy Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PALV,Pallavi Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PETW,Princeton Institute of Engineering and Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PRIW,Priyadarshini Institute of Science and Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RITW,Rishi M.S. Institute of Engineering and Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SAIS,Sai Spurthi Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SANA,Sana Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SBIT,Swarna Bharathi Institute of Science and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SCET,Shadan College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SCIT,Sri Chaitanya Institute of Technology and Research,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SDES,Sri Datta Institute of Engineering and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SDEW,Sridevi Womens Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SDGI,Sree Dattha Group of Institutions,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SIEI,Siddhartha Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SISG,Siddhartha Institute of Technology and Sciences,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SKEC,Sree Kavitha Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SMCD,St Marys Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SMGI,St Mary's Group of Institutions,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SMIC,St Mary's Integrated Campus,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SMSK,Samskruthi College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SNIS,Sreenidhi Institute of Science and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SNTI,Scient Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SPEC,St. Peters Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SPHN,Sphoorthy Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRHP,SR Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRIW,Sumathi Reddy Institute of Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRYS,Sreyas Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
STLW,Stanley College of Engineering and Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SVES,Sri Venkateswara Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SVIT,Swami Vivekananda Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SVSE,SVS Group of Institutions,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SWET,Shadan Womens College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TCEK,Trinity College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TCTK,Trinity College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TKEM,Teegala Krishna Reddy Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TKRC,TKR College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TPCE,Talla Padmavathi College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TRRM,TRR College of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VAGE,Vaagdevi College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VASV,Vasavi College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VBIT,Vignana Bharati Institute of Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VCET,Visveswaraya College of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VGNT,Vignan Institute of Technology and Science,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VGSE,Vaageswari College of Engineering,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VGWL,Vaagdevi Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VISA,Vathsalya Institute of Science and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VITS,Sree Visvesvaraya Institute of Technology and Science,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VJEC,VNR Vignana Jyothi Institute of Engineering and Technology,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VJIT,Vidya Jyothi Institute of Technology,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VJYA,Vijaya Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VMEG,Vardhaman College of Engineering,2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VMRH,VMR Pradeep Kumar Institute of Engineering and Technology,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VMTW,Vignans Institute of Management and Technology for Women,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VREC,Vijay Rural Engineering College,2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VRKW,Dr. V.R.K Womens College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
WESL,CSI Wesley Institute of Technology and Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AUCE,Andhra University College of Engineering (AUCE),not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,NIRF 2023-24 summary checked; headline not reverified,not reverified
SVUC,Sri Venkateswara University College of Engineering,not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
UCEK,"University College of Engineering, Kakinada",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JNTA,"JNTUA College of Engineering, Anantapur",not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BAPT,Bapatla Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
OUCE,"University College of Engineering, Osmania University",2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JNTH,"JNTUH College of Engineering, Hyderabad",2025 official district checked,2025 listing checked,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JNTP,"JNTUA College of Engineering, Pulivendula",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JNTK,"JNTUA College of Engineering, Kalikiri",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
UCEN,"University College of Engineering, Narasaraopet (JNTUK)",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JNKR,"JNTUH College of Engineering, Jagtial",2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JNTS,"JNTUH College of Engineering, Sultanpur",2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JNTM,"JNTUH College of Engineering, Manthani",2025 official district checked,no current rank asserted,2025 TG final checked; other years not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
