code,profile_name,rank_or_band,listed_institution,listed_city,source_url
VRSE,Siddhartha Academy of Higher Education (VR Siddhartha),151–200,Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html
GMRI,GMR University (formerly GMRIT),201–300,GMR Institute of Technology,Rajam,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
IIIT,"International Institute of Information Technology, Hyderabad",38,International Institute of Information Technology Hyderabad,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
MHND,Mahindra University,101–150,Mahindra University,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html
SRUN,SR University,91,SR University,Warangal,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
MITS,Madanapalle Institute of Technology & Science (MITS),201–300,Madanapalle Institute of Technology & Science,Madanapalle,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
PPSV,Prasad V Potluri Siddhartha Institute of Technology,201–300,Prasad V Potluri Siddhartha Institue of Technology,Vijayawada,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
ADTP,Aditya University,201–300,Aditya University,Surampalem,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html
IITH,Indian Institute of Technology Hyderabad (IITH),7,Indian Institute of Technology Hyderabad,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
NITW,"National Institute of Technology, Warangal (NITW)",28,National Institute of Technology Warangal,Warangal,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
IITP,Indian Institute of Technology Tirupati (IITTP),57,"Indian Institute of Technology, Tirupati",Tirupati,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
UOHE,University of Hyderabad — School of Engineering,74,University of Hyderabad,Hyderabad,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html
